Module ID,Module Name,Category/Hub,Status,Description,Component File Path,Lines of Code,File Size (KB),Access Gating Permission
departments,Departments Config,Admin & Sync,Active / Production,Structure configuration to setup operational departments and assign supervisors.,apps/web/src/features/business/StaffManager.tsx,1967,102.0,staff.view
qb_customers,QuickBooks Raw Customers DB,Admin & Sync,Active (Dynamic Data Table),Read-only mirror database grid of QuickBooks Customer entries.,apps/web/src/features/business/GenericDataGrid.tsx,590,26.6,sync.view
qb_health_audit,QuickBooks Data Health Audit,Admin & Sync,Active / Production,"Report highlighting unsynced invoices, duplicate items, and mismatched customer IDs.",apps/web/src/features/business/QuickBooksAudit.tsx,1034,44.7,sync.view
qb_invoices,QuickBooks Raw Invoices DB,Admin & Sync,Active (Dynamic Data Table),Read-only mirror database grid of QuickBooks Invoices.,apps/web/src/features/business/GenericDataGrid.tsx,590,26.6,sync.view
qb_items,QuickBooks Raw Items DB,Admin & Sync,Active (Dynamic Data Table),Read-only mirror database grid of QuickBooks inventory/service items.,apps/web/src/features/business/GenericDataGrid.tsx,590,26.6,sync.view
qb_jobs,QuickBooks Raw Jobs DB,Admin & Sync,Active (Dynamic Data Table),Read-only mirror database grid of QuickBooks Job subdivisions.,apps/web/src/features/business/GenericDataGrid.tsx,590,26.6,sync.view
qb_pos,QuickBooks Raw Purchase Orders DB,Admin & Sync,Active (Dynamic Data Table),Read-only mirror database grid of QuickBooks Purchase Orders.,apps/web/src/features/business/GenericDataGrid.tsx,590,26.6,sync.view
qb_sync_status,QuickBooks Web Connector Sync Monitor,Admin & Sync,Active / Production,"Dashboard showing syncing queues, execution logs, and live status of the QBWC SOAP service.",apps/web/src/features/business/QuickBooksSyncPage.tsx,900,46.8,sync.view
settings,System Settings Config,Admin & Sync,Active / Production,"Tenant-wide configuration parameters (timezone, work hours, QuickBooks endpoints).",apps/web/src/features/business/BusinessSettings.tsx,707,41.8,settings.view
staff,Staff Directory & Profiles,Admin & Sync,Active / Production,"Admin workspace to add employees, edit detail profiles, assign pay rates, and adjust roles.",apps/web/src/features/business/StaffManager.tsx,1967,102.0,staff.view
areas,Areas API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Areas.,apps\functions\src\routes\areas.routes.ts,199,7.5,Backend (OAuth/Firebase User Session Token)
companyCam,Companycam API Router,Backend API Routes,Active / Production,CompanyCam photo sync webhook listeners and project creation API integration routes.,apps\functions\src\routes\companyCam.routes.ts,104,4.0,Backend (OAuth/Firebase User Session Token)
customers,Customers API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Customers.,apps\functions\src\routes\customers.routes.ts,196,8.4,Backend (OAuth/Firebase User Session Token)
deliveries,Deliveries API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Deliveries.,apps\functions\src\routes\deliveries.routes.ts,117,5.0,Backend (OAuth/Firebase User Session Token)
inventory,Inventory API Router,Backend API Routes,Active / Production,"Full parts library search, inventory updates, and transaction logging API.",apps\functions\src\routes\inventory.routes.ts,346,14.9,Backend (OAuth/Firebase User Session Token)
jobs,Jobs API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Jobs.,apps\functions\src\routes\jobs.routes.ts,696,29.8,Backend (OAuth/Firebase User Session Token)
purchase_orders,Purchase_orders API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Purchase_orders.,apps\functions\src\routes\purchase_orders.routes.ts,91,3.8,Backend (OAuth/Firebase User Session Token)
qbwc,Qbwc API Router,Backend API Routes,Active / Production,QuickBooks Web Connector SOAP/XML sync service protocol engine routes.,apps\functions\src\routes\qbwc.routes.ts,619,30.9,Backend (OAuth/Firebase User Session Token)
scan,Scan API Router,Backend API Routes,Active / Production,QR Code and barcode dispatch endpoint routing logic.,apps\functions\src\routes\scan.routes.ts,122,5.0,Backend (OAuth/Firebase User Session Token)
task_templates,Task_templates API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Task_templates.,apps\functions\src\routes\task_templates.routes.ts,153,6.7,Backend (OAuth/Firebase User Session Token)
tasks,Tasks API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Tasks.,apps\functions\src\routes\tasks.routes.ts,165,7.3,Backend (OAuth/Firebase User Session Token)
time,Time API Router,Backend API Routes,Active / Production,"Timeclock clock-in, breaks, shifts adjustments, and payroll exports backend.",apps\functions\src\routes\time.routes.ts,199,8.5,Backend (OAuth/Firebase User Session Token)
units,Units API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Units.,apps\functions\src\routes\units.routes.ts,98,3.7,Backend (OAuth/Firebase User Session Token)
vehicles,Vehicles API Router,Backend API Routes,Active / Production,REST API router endpoints handling CRUD operations and queries for Vehicles.,apps\functions\src\routes\vehicles.routes.ts,188,7.5,Backend (OAuth/Firebase User Session Token)
chatTriggers,Chat DB Observers,Backend Triggers,Active / Production,Firestore database trigger triggers handling background actions for Chat changes.,apps\functions\src\triggers\chatTriggers.ts,101,3.5,System Exec (Google Cloud Trigger Context)
qbSync,Qbsync DB Observers,Backend Triggers,Active / Production,Firestore listeners that trigger QuickBooks sync operations whenever jobs/invoices update.,apps\functions\src\triggers\qbSync.ts,501,18.9,System Exec (Google Cloud Trigger Context)
shopFloorTriggers,Shopfloor DB Observers,Backend Triggers,Active / Production,"Automatic job state updates, bay occupancy shifts, and key rack tracking triggers.",apps\functions\src\triggers\shopFloorTriggers.ts,465,20.8,System Exec (Google Cloud Trigger Context)
staffTriggers,Staff DB Observers,Backend Triggers,Active / Production,Firestore database trigger triggers handling background actions for Staff changes.,apps\functions\src\triggers\staffTriggers.ts,78,3.1,System Exec (Google Cloud Trigger Context)
device_settings,Device & Terminal Settings,Dashboard,Active / Production,"Client-side local settings (dark/light theme, station pairing, cached credentials).",apps/web/src/features/business/UserMissionControl.tsx,2949,140.9,None (All Staff)
org_chart,Business Org Chart,Dashboard,Active / Production,Visual hierarchy org chart of the business organization and employee reporting links.,apps/web/src/features/business/OrgChartPage.tsx,750,36.5,None (All Staff)
overview,My Jobs & Todos,Dashboard,Active / Production,"User dashboard displaying assigned jobs, tasks, personal todo items, and break controls.",apps/web/src/features/business/UserMissionControl.tsx,2949,140.9,None (All Staff)
time_details,Time Clock History & Summary,Dashboard,Active / Production,"Detailed personal time logs, shifts audit, breaks breakdown, and correction requests.",apps/web/src/features/business/UserMissionControl.tsx,2949,140.9,None (All Staff)
job_detail,Job Detail Workspace,Deep Views,Active / Production,"Production workspace page for a specific Job, housing tasks completion checklist, hours tracking, and notes.",apps/web/src/features/business/JobDetailPage.tsx,3646,193.8,jobs.view
staff_profile,Staff Profile View,Deep Views,Active / Production,"Detailed metrics, active clock-in session, weekly timecard log, and performance cards for a staff member.",apps/web/src/features/business/StaffProfilePage.tsx,1469,74.6,staff.view
task_detail,Task Detail Workspace,Deep Views,Active / Production,"Expanded details for a single task including checklist steps, instruction documents, and timecard logs.",apps/web/src/features/business/TaskDetailPage.tsx,2067,94.8,tasks.view
vehicle_detail,Vehicle Detail Profile,Deep Views,Active / Production,"Vehicle profile, physical logs on-site, photos feed, parking records, and key tracker.",apps/web/src/features/business/VehicleDetailPage.tsx,810,38.3,vehicles.view
fast,F.A.S.T Department Dashboard,F.A.S.T,Active / Production,Operational overview board for the Fleet and Assembly Service Team (F.A.S.T).,apps/web/src/features/business/DepartmentDashboard.tsx,504,24.9,fast.view
fabrication,Fabrication Overview,Fabrication,Active / Production,"Work orders, metal fab machinery allocations, and queue processing for welders/fabricators.",apps/web/src/features/business/DepartmentOverview.tsx,805,37.4,fabrication.view
announcements,Company Announcements,Facility,Active (Dynamic Data Table),"Company bulletin announcements, pins, and broadcast newsletters.",apps/web/src/features/business/GenericDataGrid.tsx,590,26.6,communication.view
bay_monitor,Bay Monitor (TV App),Facility,Active / Production,Full-screen digital signage TV view showing vehicle statuses across repair bays.,apps/web/src/features/business/BayMonitor.tsx,1240,54.4,facility.view
canvases,Workflow Canvases (Whiteboards),Facility,Active / Production,Infinite-canvas logic builder powered by React Flow for layout visual workflow nodes.,apps/web/src/features/business/WorkflowCanvasTab.tsx,775,35.7,whiteboards.view
customers,Customers Directory,Facility,Active / Production,"Database list of accounts, client profiles, and historical job associations.",apps/web/src/features/business/CustomersManager.tsx,251,8.9,customers.view
events,Events Calendar,Facility,Active / Production,"Full-page calendar scheduling office events, customer walkthroughs, and holidays.",apps/web/src/features/business/BusinessEvents.tsx,627,31.0,communication.view
facility_maps,Facility Maps View,Facility,Active (Dynamic Data Table),Grid display showing map links and floor plans for storage and assembly areas.,apps/web/src/features/business/GenericDataGrid.tsx,590,26.6,facility.view
feedback,Bugs & Suggestions Feed,Facility,Active / Production,"Aggregated feedback, user screenshots, and feature request system.",apps/web/src/features/super-admin/FeedbackReports.tsx,367,16.5,facility.view
jobs,Jobs List Manager,Facility,Active / Production,"General list/table manager for all active, scheduled, completed, and archived jobs.",apps/web/src/features/business/JobsManager.tsx,575,22.5,jobs.view
messages,Internal Chat / Messages Feed,Facility,Active (Dynamic Data Table),Data grid interface rendering group chats and direct messages for staff communication.,apps/web/src/features/business/GenericDataGrid.tsx,590,26.6,communication.view
parking_monitor,Parking Key Monitor (TV App),Facility,Active / Production,Large-font TV board indicating where vehicle keys are physically stored (Key boxes/zones).,apps/web/src/features/business/ParkingMonitor.tsx,1289,62.1,facility.view
timeclock_monitor,Timeclock Terminal Station,Facility,Active / Production,Touchscreen terminal interface for staff to quickly scan barcodes/PINs and clock in.,apps/web/src/features/timeclock/TimeclockLoginMonitor.tsx,643,32.6,timeclock.view
vehicles,Vehicles Fleet Tracker,Facility,Active / Production,"List of client vehicles on-site, tracking VINs, keys location, status, and physical parking zone.",apps/web/src/features/business/VehiclesManager.tsx,847,39.6,vehicles.view
vendors,Vendors & Services Manager,Facility,Active / Production,"Suppliers list, subcontractor tracking, and external service provider records.",apps/web/src/features/business/VendorsManager.tsx,1661,85.6,vendors.view
zones,Parking & Bay Zones Config,Facility,Active / Production,Interactive floor and yard map configuration tool defining logical spots and zones.,apps/web/src/features/business/ZonesManager.tsx,921,40.9,facility.view
graphics,Graphics Department Dashboard,Graphics,Active / Production,Operational workflow tracking for the graphics design and wrap/decal cutting division.,apps/web/src/features/business/DepartmentDashboard.tsx,504,24.9,graphics.view
harness,Harness Department Mission Control,Harness Dept,Active / Production,"Custom wiring harness board assembly tracking, testing states, and harness builds.",apps/web/src/features/business/HarnessMissionControl.tsx,1076,46.8,harness.view
help_overview,Help Center Academy Catalog,Help & SOPs,Help / Training System,"Searchable manual index compiling tutorials, guides, and training slides.",apps/web/src/features/tutorials/HelpCenter.tsx,1022,54.1,None (All Staff)
sop_overview,Standard Operating Procedures (SOP) Center,Help & SOPs,Help / Training System,"Standard operating workflows, runner tool guides, and safety checklist definitions.",apps/web/src/features/sops/SOPCenter.tsx,767,39.9,None (All Staff)
audit,Weekly Audit Reports,Main Office,Active / Production,"Auditing reports for payroll, job time allocation, and labor costs vs book values.",apps/web/src/features/business/AuditManager.tsx,2534,126.9,reports.view
live_timeclock,Live Timeclock Monitor,Main Office,Active / Production,"Real-time monitoring board showing which staff members are clocked in, active task, or on break.",apps/web/src/features/timeclock/LiveTimeclockBoard.tsx,807,36.5,timeclock.view
office,Office Dashboard Board,Main Office,Active / Production,"Administrative dashboard highlighting billing stages, job dispatch, and high-level project statuses.",apps/web/src/features/business/OfficeDashboard.tsx,696,32.4,office.view
progress_digest,Today's Progress Digest,Main Office,Active / Production,"Real-time daily feed of clock-ins, completed tasks, and shop milestones achieved today.",apps/web/src/features/business/ProgressDigest.tsx,1456,68.2,"office.view, jobs.view, foreman.view"
qr_hub,QR Label Hub,Main Office,Active / Production,"Label generation engine to print QR codes for jobs, vehicles, and equipment.",apps/web/src/features/business/QRManager.tsx,1426,67.1,vehicles.view
timeclock,Payroll & Attendance Manager,Main Office,Active / Production,"Payroll timesheet reconciliation, shift corrections approval, and hours export tool.",apps/web/src/features/timeclock/TimeclockAdmin.tsx,1819,96.5,timeclock.manage
items,Parts Library Manager,Parts Dept,Active / Production,Full catalog management of company inventory parts and custom SKU options.,apps/web/src/features/business/PartsManager.tsx,125,4.9,parts.view
package_intake,Package Intake Logger,Parts Dept,Active / Production,Modal / page logger to register incoming packages from carriers and notify requested staff.,apps/web/src/features/business/PackageIntakeModal.tsx,913,38.2,parts.view
parts,Parts Department Overview,Parts Dept,Active / Production,"Control center for the parts inventory department, containing intake and request queues.",apps/web/src/features/business/PartsMissionControl.tsx,1469,71.2,parts.view
parts_worksheet,Parts Request Worksheet,Parts Dept,Active / Production,"Interface to handle incoming parts requests, ordering updates, and allocation checks.",apps/web/src/features/business/PartsWorksheet.tsx,1101,49.7,"parts_worksheet.view, parts.manage"
printed_parts,Print Farm Overview,Print Farm,Active / Production,"3D printer farm control hub managing print jobs, materials, and dispatch of completed parts.",apps/web/src/features/business/PrintedPartsMissionControl.tsx,456,20.6,printed_parts.view
sales,Sales & CRM Manager,Sales Dept,Active / Production,"Customer relations manager, leads tracking, deal stages, pipeline, and sales KPIs.",apps/web/src/features/business/sales/SalesCrmManager.tsx,422,19.8,sales.view
bay_worksheet,Bay Worksheet,Upfitters,Active / Production,Bay allocation worksheet tracking jobs located in physical repair/upfitting bays.,apps/web/src/features/business/BayWorksheet.tsx,1278,60.6,bay_worksheet.view
job_schedule,Schedule Board,Upfitters,Active / Production,Interactive calendar/timeline scheduling tool for jobs and staff assignments.,apps/web/src/features/business/ScheduleBoard.tsx,2276,100.8,jobs.view
jobs_worksheet,Jobs Worksheet,Upfitters,Active / Production,Consolidated sheet listing all active and upcoming jobs with progress percentages and tracking.,apps/web/src/features/business/JobsWorksheet.tsx,2476,127.1,jobs.view
morning_meeting,Morning Meeting Board,Upfitters,Active / Production,"Morning sync-up whiteboard containing goals, daily tasks, reminders, and shop safety targets.",apps/web/src/features/business/MorningMeetingBoard.tsx,681,28.7,foreman.view
staff_worksheet,Staff Worksheet,Upfitters,Active / Production,Staff-focused matrix worksheet matching technicians to active shop floors and tasks.,apps/web/src/features/business/StaffWorksheet.tsx,1153,49.4,staff_worksheet.view
upfitters,Upfitters Dashboard Overview,Upfitters,Active / Production,"Foreman and shop floor operations dashboard with KPIs, active production queues, and bottlenecks.",apps/web/src/features/business/UpfittersDashboard.tsx,2936,160.9,foreman.view
weekly_meeting,Weekly Meeting Notes,Upfitters,Active / Production,"Shared printable weekly meeting logs, performance metrics, and agenda notes.",apps/web/src/features/business/WeeklyMeetingNotes.tsx,1443,60.3,foreman.view
